account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,current_mrr,current_arr,is_trial,total_usage_count,ticket_count,avg_satisfaction,escalation_rate,has_upgraded,has_downgraded,tenure_days,churn_target,churn_probability,revenue_at_risk,churn_probability_percent,priority,recommended_action
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Enterprise,36.0,7164.0,85968.0,False,712,3.0,3.5,0.0,True,False,205,0,0.5422014600983691,3884.331260144717,54.22014600983691,High,Proactive retention outreach
A-cb5333,Company_370,DevTools,US,2024-03-26,ads,Enterprise,33.0,6567.0,78804.0,False,692,4.0,3.0,0.0,False,True,188,0,0.5740523778752363,3769.801965506677,57.40523778752363,High,Customer satisfaction outreach
A-86fc1d,Company_328,DevTools,UK,2024-07-26,partner,Enterprise,28.0,5572.0,66864.0,False,298,4.0,4.0,0.0,True,False,66,0,0.5792910335866505,3227.809639144816,57.929103358665046,High,Proactive retention outreach
A-f03140,Company_209,DevTools,IN,2023-11-22,event,Enterprise,27.0,5373.0,64476.0,False,518,7.0,3.6666666666666665,0.0,False,True,313,1,0.5508080630400205,2959.49172271403,55.08080630400205,High,Proactive retention outreach
A-a33200,Company_352,HealthTech,US,2024-09-15,partner,Enterprise,29.0,5771.0,69252.0,False,462,3.0,4.5,0.0,False,False,15,1,0.5001604826254396,2886.426145231412,50.016048262543954,High,Proactive retention outreach
A-e08cd3,Company_475,FinTech,US,2024-09-21,ads,Pro,67.0,3283.0,39396.0,False,360,6.0,4.0,0.0,False,False,9,1,0.5273418621816603,1731.263333542391,52.73418621816604,High,Proactive retention outreach
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,13.0,2587.0,31044.0,False,409,4.0,3.6666666666666665,0.0,False,False,20,1,0.505930820102205,1308.8430316044044,50.5930820102205,High,Proactive retention outreach
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Pro,35.0,1715.0,20580.0,False,616,3.0,3.5,0.0,True,False,86,1,0.6602903494982135,1132.3979493894362,66.02903494982135,High,Proactive retention outreach
A-5a92e7,Company_413,HealthTech,US,2024-06-11,ads,Pro,28.0,1372.0,16464.0,False,772,6.0,4.75,0.0,False,False,111,1,0.620643465959907,851.5228352969925,62.06434659599071,High,Proactive retention outreach
A-e60f9d,Company_178,FinTech,US,2024-08-26,other,Pro,29.0,1421.0,17052.0,False,567,2.0,,0.0,False,False,35,0,0.5416606787190191,769.6998244597262,54.16606787190192,High,Proactive retention outreach
