account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,current_mrr,current_arr,is_trial,total_usage_count,ticket_count,avg_satisfaction,escalation_rate,has_upgraded,has_downgraded,tenure_days,churn_target,churn_probability,revenue_at_risk,churn_probability_percent
A-902ef7,Company_270,HealthTech,US,2024-09-03,other,Enterprise,83.0,16517.0,198204.0,False,369,2.0,4.0,0.0,True,False,27,0,0.35547647379549013,5871.404917680111,35.54764737954901
A-054577,Company_455,EdTech,UK,2024-04-28,ads,Enterprise,75.0,14925.0,179100.0,False,733,1.0,4.0,0.0,True,True,155,0,0.36144686363163486,5394.59443970215,36.14468636316349
A-883b7d,Company_313,Cybersecurity,IN,2024-03-28,other,Enterprise,50.0,9950.0,119400.0,False,535,5.0,4.0,0.2,False,False,186,0,0.45738693501034317,4551.000003352914,45.73869350103432
A-5c046d,Company_130,EdTech,FR,2024-07-06,partner,Enterprise,93.0,18507.0,222084.0,False,433,1.0,3.0,0.0,False,False,86,0,0.24424915808263567,4520.319168635338,24.424915808263567
A-0cc442,Company_198,EdTech,US,2024-07-18,organic,Enterprise,53.0,10547.0,126564.0,False,668,3.0,3.0,0.0,True,True,74,1,0.42134415517148893,4443.916804593694,42.134415517148895
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Enterprise,36.0,7164.0,85968.0,False,712,3.0,3.5,0.0,True,False,205,0,0.5422014600983691,3884.3312601447165,54.22014600983691
A-cb5333,Company_370,DevTools,US,2024-03-26,ads,Enterprise,33.0,6567.0,78804.0,False,692,4.0,3.0,0.0,False,True,188,0,0.5740523778752363,3769.801965506677,57.40523778752363
A-5a215a,Company_358,EdTech,FR,2024-01-05,other,Enterprise,87.0,17313.0,207756.0,False,709,3.0,4.0,0.0,True,False,269,0,0.21598048853660998,3739.2701980343286,21.598048853661
A-1f7acb,Company_281,FinTech,UK,2023-08-06,ads,Enterprise,64.0,12736.0,152832.0,False,478,6.0,4.4,0.0,True,True,421,0,0.2934559105677815,3737.454476991265,29.345591056778147
A-09316c,Company_341,FinTech,AU,2024-09-11,organic,Enterprise,70.0,13930.0,167160.0,False,511,2.0,4.5,0.5,False,False,19,1,0.25326060529301503,3527.9202317316995,25.326060529301504
A-c58f49,Company_480,EdTech,US,2024-07-31,other,Enterprise,70.0,13930.0,167160.0,False,319,3.0,5.0,0.3333333333333333,False,False,61,0,0.23536628150039945,3278.6523013005644,23.536628150039945
A-5b1bcd,Company_166,DevTools,US,2023-09-16,organic,Enterprise,73.0,14527.0,174324.0,False,754,3.0,4.0,0.0,True,False,380,0,0.22394667632958068,3253.2733670398184,22.39466763295807
A-86fc1d,Company_328,DevTools,UK,2024-07-26,partner,Enterprise,28.0,5572.0,66864.0,False,298,4.0,4.0,0.0,True,False,66,0,0.5792910335866505,3227.809639144816,57.929103358665046
A-544d0a,Company_153,DevTools,US,2024-05-02,organic,Enterprise,64.0,12736.0,152832.0,False,416,2.0,4.0,0.5,False,True,151,0,0.25136613863912394,3201.3991417078823,25.136613863912395
A-dbc825,Company_252,EdTech,FR,2024-01-07,partner,Enterprise,45.0,8955.0,107460.0,False,612,5.0,3.0,0.0,True,False,267,0,0.3559568606455537,3187.5936870809333,35.59568606455537
A-855a48,Company_389,EdTech,US,2023-12-22,partner,Enterprise,60.0,11940.0,143280.0,False,436,5.0,3.6666666666666665,0.0,False,True,283,0,0.25858730735821484,3087.5324498570853,25.858730735821485
A-ccb686,Company_491,DevTools,US,2024-01-22,other,Enterprise,53.0,10547.0,126564.0,False,560,1.0,4.0,0.0,True,True,252,1,0.28742005066921755,3031.4192744082375,28.742005066921756
A-2e3bad,Company_108,FinTech,CA,2023-08-13,other,Enterprise,61.0,12139.0,145668.0,False,403,5.0,3.5,0.0,False,False,414,0,0.24556398277395805,2980.9011868930766,24.556398277395804
A-f03140,Company_209,DevTools,IN,2023-11-22,event,Enterprise,27.0,5373.0,64476.0,False,518,7.0,3.6666666666666665,0.0,False,True,313,1,0.5508080630400205,2959.49172271403,55.08080630400205
A-86902e,Company_169,HealthTech,IN,2023-05-02,other,Enterprise,34.0,6766.0,81192.0,False,531,9.0,3.5,0.0,True,False,517,1,0.4372216548373966,2958.2417166298255,43.72216548373966
A-a33200,Company_352,HealthTech,US,2024-09-15,partner,Enterprise,29.0,5771.0,69252.0,False,462,3.0,4.5,0.0,False,False,15,1,0.5001604826254396,2886.4261452314117,50.016048262543954
A-7f6b86,Company_299,HealthTech,US,2023-08-24,partner,Enterprise,59.0,11741.0,140892.0,False,387,5.0,3.5,0.0,True,False,403,0,0.2324198489033007,2728.8414459736537,23.24198489033007
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Enterprise,43.0,8557.0,102684.0,False,460,4.0,3.5,0.25,True,False,169,0,0.3170055116889645,2712.6161635224694,31.700551168896453
A-92a3af,Company_259,Cybersecurity,IN,2024-07-07,organic,Enterprise,27.0,5373.0,64476.0,False,597,4.0,4.0,0.25,False,True,85,0,0.49825155072698346,2677.1055820560823,49.825155072698344
A-81edc3,Company_236,Cybersecurity,IN,2023-10-30,ads,Enterprise,44.0,8756.0,105072.0,False,604,3.0,4.0,0.0,True,False,336,1,0.2965601904285213,2596.6810273921324,29.656019042852126
A-c16b88,Company_431,HealthTech,US,2023-12-02,event,Enterprise,45.0,8955.0,107460.0,False,447,3.0,3.0,0.0,False,False,303,0,0.2884129083567127,2582.7375943343623,28.84129083567127
A-20736a,Company_271,EdTech,IN,2024-03-16,organic,Enterprise,50.0,9950.0,119400.0,False,406,2.0,4.0,0.0,False,False,198,0,0.23888491771623463,2376.9049312765346,23.888491771623464
A-ad296b,Company_112,DevTools,AU,2024-07-15,event,Enterprise,38.0,7562.0,90744.0,False,258,3.0,3.6666666666666665,0.3333333333333333,False,False,77,0,0.30904219878971034,2336.9771072477897,30.904219878971034
A-3f9cc0,Company_359,HealthTech,US,2024-06-03,event,Enterprise,30.0,5970.0,71640.0,False,389,4.0,4.5,0.25,True,True,119,1,0.3779445328146274,2256.3288609033257,37.794453281462744
A-90a8c8,Company_249,FinTech,AU,2024-08-24,organic,Enterprise,28.0,5572.0,66864.0,False,363,4.0,3.25,0.0,True,False,37,0,0.3983161397141121,2219.4175304870328,39.83161397141121
A-f5641b,Company_382,EdTech,US,2024-03-30,other,Enterprise,31.0,6169.0,74028.0,False,383,4.0,3.0,0.25,True,True,184,0,0.35900477643962,2214.700465856016,35.900477643962
A-dcc3f1,Company_314,HealthTech,US,2023-12-27,event,Enterprise,22.0,4378.0,52536.0,False,416,9.0,3.8,0.0,False,False,278,1,0.4854058591734517,2125.1068514613717,48.54058591734517
A-fa3095,Company_174,FinTech,US,2023-09-03,ads,Enterprise,70.0,13930.0,167160.0,False,504,3.0,5.0,0.0,False,False,393,0,0.15202444325903086,2117.7004945983,15.202444325903086
A-560d27,Company_266,DevTools,US,2024-05-05,organic,Enterprise,23.0,4577.0,54924.0,False,539,4.0,3.6666666666666665,0.0,False,False,148,0,0.4598043438120406,2104.52448162771,45.98043438120406
A-37f969,Company_150,HealthTech,IN,2023-10-14,partner,Enterprise,30.0,5970.0,71640.0,False,280,5.0,3.6666666666666665,0.2,True,False,352,1,0.34306624352130716,2048.1054738222037,34.30662435213072
