account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,current_mrr,current_arr,is_trial,total_usage_count,ticket_count,avg_satisfaction,escalation_rate,has_upgraded,has_downgraded,tenure_days,churn_target
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Pro,18.0,882.0,10584.0,False,317,3.0,4.0,0.0,True,False,410,0
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Enterprise,6.0,1194.0,14328.0,False,717,2.0,5.0,0.0,False,False,34,1
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Pro,24.0,0.0,0.0,True,337,2.0,,0.0,True,False,400,1
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Basic,17.0,323.0,3876.0,False,390,3.0,3.0,0.0,False,False,354,1
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,49.0,2401.0,28812.0,False,311,5.0,3.8,0.6,False,False,206,0
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Basic,39.0,741.0,8892.0,False,289,3.0,,0.0,False,False,534,0
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,13.0,2587.0,31044.0,False,409,4.0,3.6666666666666665,0.0,False,False,20,1
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Pro,34.0,1666.0,19992.0,False,201,3.0,3.5,0.0,True,False,511,0
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,35.0,665.0,7980.0,False,941,2.0,5.0,0.0,False,False,5,1
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Pro,7.0,343.0,4116.0,False,555,3.0,5.0,0.3333333333333333,True,False,535,0
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Basic,61.0,0.0,0.0,True,588,3.0,4.0,0.0,True,True,259,0
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Basic,28.0,532.0,6384.0,False,473,2.0,4.0,0.0,True,False,388,1
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29.0,1421.0,17052.0,False,434,5.0,3.0,0.0,False,False,404,0
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Pro,18.0,882.0,10584.0,False,366,5.0,3.6,0.0,False,True,571,0
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Pro,6.0,0.0,0.0,True,425,3.0,4.0,0.3333333333333333,True,False,316,0
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9.0,1791.0,21492.0,False,569,4.0,4.666666666666667,0.25,True,False,169,0
